USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.8  0.1  18296  4844 ?        Sl   09:59   0:01 /process_api --firecracker-init --addr 0.0.0.0:2024 --max-ws-buffer-size 32768 --block-local-connections
root        30  0.0  0.0      0     0 ?        S    09:59   0:00 [kcompactd0]
root        31  0.0  0.0      0     0 ?        SN   09:59   0:00 [ksmd]
root        32  0.0  0.0      0     0 ?        SN   09:59   0:00 [khugepaged]
root        33  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-kblockd]
root        34  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-kintegrityd]
root        35  0.0  0.0      0     0 ?        S    09:59   0:00 [watchdogd]
root        36  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-quota_events_unbound]
root        37  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-rpciod]
root        38  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/0:1H-kblockd]
root        39  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-xprtiod]
root        46  0.0  0.0      0     0 ?        S    09:59   0:00 [kswapd0]
root        59  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-nfsiod]
root        63  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-xfsalloc]
root        65  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-xfs_mru_cache]
root        66  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-kthrotld]
root        68  0.0  0.0      0     0 ?        S    09:59   0:00 [irq/24-ACPI:Ged]
root        70  0.0  0.0      0     0 ?        S    09:59   0:00 [irq/25-ACPI:Ged]
root       100  0.0  0.0      0     0 ?        I    09:59   0:00 [kworker/u4:2-ext4-rsv-conversion]
root       115  0.0  0.0      0     0 ?        S    09:59   0:00 [hwrng]
root       145  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-iscsi_conn_cleanup]
root       175  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-kstrp]
root       477  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/u5:0]
root       487  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-ext4-rsv-conversion]
root       489  0.4  0.8 1956176 35628 ?       Sl   09:59   0:00 /opt/rclone/rclone-filestore multimount --config /tmp/rclone-mount-config.json
root       596  0.0  0.0   2808  1984 ?        S    10:02   0:00 /bin/sh -c cd /home/claude/claude-system-prompt/web/sandbox/artifacts/runtime && \ # --- refresh existing proc/sys dumps --- cat /proc/cmdline > proc-cmdline.txt 2>&1 cat /proc/1/cmdline | tr '\0' ' ' > proc-1-cmdline.txt 2>&1; echo >> proc-1-cmdline.txt cat /proc/cpuinfo > proc-cpuinfo.txt 2>&1 cat /proc/meminfo > proc-meminfo.txt 2>&1 cat /proc/iomem > proc-iomem.txt 2>&1 cat /proc/mounts > proc-mounts.txt 2>&1 cat /proc/partitions > proc-partitions.txt 2>&1 cat /proc/1/status > proc-1-status.txt 2>&1 cat /proc/1/maps > proc-1-maps.txt 2>&1 ls -l /proc/1/fd > proc-1-fd.txt 2>&1 ls -l /proc/1/ns > proc-1-ns.txt 2>&1 cat /proc/1/cgroup > proc-self-cgroup.txt 2>&1 cat /proc/self/status > proc-self-status.txt 2>&1 cat /proc/net/tcp > proc-net-tcp.txt 2>&1 cat /proc/net/unix > proc-net-unix.txt 2>&1 cat /proc/net/route > proc-net-route.txt 2>&1 cat /proc/net/arp > proc-net-arp.txt 2>&1 cat /proc/net/dev > proc-net-dev.txt 2>&1 cat /proc/keys > proc-keys.txt 2>&1 ps aux > ps-aux.txt 2>&1 dmesg > dmesg.txt 2>&1 { for d in /dev/vda /dev/vdb /dev/vdc /dev/vdd; do echo "=== $d ==="; file "$d" 2>&1; echo; done; } > block-devices.txt { echo "# cgroup v1 limits (this VM)"; for f in /sys/fs/cgroup/memory/memory.limit_in_bytes /sys/fs/cgroup/memory/memory.usage_in_bytes /sys/fs/cgroup/cpu/cpu.cfs_quota_us /sys/fs/cgroup/cpu/cpu.cfs_period_us /sys/fs/cgroup/pids/pids.max; do printf "%-55s = %s\n" "$f" "$(cat $f 2>/dev/null)"; done; } > cgroup-limits.txt # --- NEW runtime artifacts --- zcat /proc/config.gz > kernel-config.txt 2>&1 cat /proc/modules > proc-modules.txt 2>&1; [ -s proc-modules.txt ] || echo "(empty ??? monolithic kernel, no loadable modules)" > proc-modules.txt cat /proc/cgroups > proc-cgroups.txt 2>&1 cat /proc/filesystems > proc-filesystems.txt 2>&1 uname -a > uname.txt 2>&1 cat /etc/os-release > os-release.txt 2>&1 { echo "=== virtio-pci device topology ==="; for dd in /sys/bus/virtio/devices/virtio*; do id=$(cat $dd/device 2>/dev/null); case "$id" in 0x0002) t="virtio-blk";; 0x0001) t="virtio-net";; 0x0004) t="virtio-rng";; 0x0013) t="virtio-vsock";; 0x0005) t="virtio-balloon";; *) t="device=$id";; esac; printf "  %-9s %-14s modalias=%s\n" "$(basename $dd)" "$t" "$(cat $dd/modalias)"; done; echo; echo "PF_VSOCK registered: $(dmesg|grep -c PF_VSOCK) ; /dev/vsock: $(ls -l /dev/vsock 2>/dev/null)"; } > sys-virtio-devices.txt { echo "=== LSM / SELinux / seccomp posture ==="; echo "active LSMs (/sys/kernel/security/lsm): '$(cat /sys/kernel/security/lsm 2>/dev/null)'  (empty = none enforcing)"; echo "/sys/fs/selinux present: $([ -d /sys/fs/selinux ] && echo yes || echo no) (compiled in, not loaded)"; echo "loaded kernel modules: $(cat /proc/modules 2>/dev/null | wc -l)"; echo "PID1 Seccomp: $(grep Seccomp /proc/1/status | head -1)"; echo "PID1 NoNewPrivs: $(grep NoNewPrivs /proc/1/status)"; echo "PID1 CapEff: $(grep CapEff /proc/1/status)"; echo "PID1 CapBnd: $(grep CapBnd /proc/1/status)"; } > security-posture.txt { echo "hwrng current: $(cat /sys/devices/virtual/misc/hw_random/rng_current 2>/dev/null)"; echo "entropy_avail: $(cat /proc/sys/kernel/random/entropy_avail 2>/dev/null)"; echo "boot_id: $(cat /proc/sys/kernel/random/boot_id)"; echo "uptime_s: $(cut -d' ' -f1 /proc/uptime)"; } > entropy-and-boot.txt echo "Captured runtime files:" && ls -1 | sort | tr '\n' ' '
root       617  150  0.1   7900  4196 ?        R    10:02   0:00 ps aux
